Nama,Nilai
Siswa0001,87
Siswa0002,73
Siswa0003,59
Siswa0004,96
Siswa0005,82
Siswa0006,68
Siswa0007,54
Siswa0008,91
Siswa0009,77
Siswa0010,63
Siswa0011,100
Siswa0012,86
Siswa0013,72
Siswa0014,58
Siswa0015,95
Siswa0016,81
Siswa0017,67
Siswa0018,53
Siswa0019,90
Siswa0020,76
Siswa0021,62
Siswa0022,99
Siswa0023,85
Siswa0024,71
Siswa0025,57
Siswa0026,94
Siswa0027,80
Siswa0028,66
Siswa0029,52
Siswa0030,89
Siswa0031,75
Siswa0032,61
Siswa0033,98
Siswa0034,84
Siswa0035,70
Siswa0036,56
Siswa0037,93
Siswa0038,79
Siswa0039,65
Siswa0040,51
Siswa0041,88
Siswa0042,74
Siswa0043,60
Siswa0044,97
Siswa0045,83
Siswa0046,69
Siswa0047,55
Siswa0048,92
Siswa0049,78
Siswa0050,64
Siswa0051,50
Siswa0052,87
Siswa0053,73
Siswa0054,59
Siswa0055,96
Siswa0056,82
Siswa0057,68
Siswa0058,54
Siswa0059,91
Siswa0060,77
Siswa0061,63
Siswa0062,100
Siswa0063,86
Siswa0064,72
Siswa0065,58
Siswa0066,95
Siswa0067,81
Siswa0068,67
Siswa0069,53
Siswa0070,90
Siswa0071,76
Siswa0072,62
Siswa0073,99
Siswa0074,85
Siswa0075,71
Siswa0076,57
Siswa0077,94
Siswa0078,80
Siswa0079,66
Siswa0080,52
Siswa0081,89
Siswa0082,75
Siswa0083,61
Siswa0084,98
Siswa0085,84
Siswa0086,70
Siswa0087,56
Siswa0088,93
Siswa0089,79
Siswa0090,65
Siswa0091,51
Siswa0092,88
Siswa0093,74
Siswa0094,60
Siswa0095,97
Siswa0096,83
Siswa0097,69
Siswa0098,55
Siswa0099,92
Siswa0100,78
Siswa0101,64
Siswa0102,50
Siswa0103,87
Siswa0104,73
Siswa0105,59
Siswa0106,96
Siswa0107,82
Siswa0108,68
Siswa0109,54
Siswa0110,91
Siswa0111,77
Siswa0112,63
Siswa0113,100
Siswa0114,86
Siswa0115,72
Siswa0116,58
Siswa0117,95
Siswa0118,81
Siswa0119,67
Siswa0120,53
Siswa0121,90
Siswa0122,76
Siswa0123,62
Siswa0124,99
Siswa0125,85
Siswa0126,71
Siswa0127,57
Siswa0128,94
Siswa0129,80
Siswa0130,66
Siswa0131,52
Siswa0132,89
Siswa0133,75
Siswa0134,61
Siswa0135,98
Siswa0136,84
Siswa0137,70
Siswa0138,56
Siswa0139,93
Siswa0140,79
Siswa0141,65
Siswa0142,51
Siswa0143,88
Siswa0144,74
Siswa0145,60
Siswa0146,97
Siswa0147,83
Siswa0148,69
Siswa0149,55
Siswa0150,92
Siswa0151,78
Siswa0152,64
Siswa0153,50
Siswa0154,87
Siswa0155,73
Siswa0156,59
Siswa0157,96
Siswa0158,82
Siswa0159,68
Siswa0160,54
Siswa0161,91
Siswa0162,77
Siswa0163,63
Siswa0164,100
Siswa0165,86
Siswa0166,72
Siswa0167,58
Siswa0168,95
Siswa0169,81
Siswa0170,67
Siswa0171,53
Siswa0172,90
Siswa0173,76
Siswa0174,62
Siswa0175,99
Siswa0176,85
Siswa0177,71
Siswa0178,57
Siswa0179,94
Siswa0180,80
Siswa0181,66
Siswa0182,52
Siswa0183,89
Siswa0184,75
Siswa0185,61
Siswa0186,98
Siswa0187,84
Siswa0188,70
Siswa0189,56
Siswa0190,93
Siswa0191,79
Siswa0192,65
Siswa0193,51
Siswa0194,88
Siswa0195,74
Siswa0196,60
Siswa0197,97
Siswa0198,83
Siswa0199,69
Siswa0200,55
Siswa0201,92
Siswa0202,78
Siswa0203,64
Siswa0204,50
Siswa0205,87
Siswa0206,73
Siswa0207,59
Siswa0208,96
Siswa0209,82
Siswa0210,68
Siswa0211,54
Siswa0212,91
Siswa0213,77
Siswa0214,63
Siswa0215,100
Siswa0216,86
Siswa0217,72
Siswa0218,58
Siswa0219,95
Siswa0220,81
Siswa0221,67
Siswa0222,53
Siswa0223,90
Siswa0224,76
Siswa0225,62
Siswa0226,99
Siswa0227,85
Siswa0228,71
Siswa0229,57
Siswa0230,94
Siswa0231,80
Siswa0232,66
Siswa0233,52
Siswa0234,89
Siswa0235,75
Siswa0236,61
Siswa0237,98
Siswa0238,84
Siswa0239,70
Siswa0240,56
Siswa0241,93
Siswa0242,79
Siswa0243,65
Siswa0244,51
Siswa0245,88
Siswa0246,74
Siswa0247,60
Siswa0248,97
Siswa0249,83
Siswa0250,69
Siswa0251,55
Siswa0252,92
Siswa0253,78
Siswa0254,64
Siswa0255,50
Siswa0256,87
Siswa0257,73
Siswa0258,59
Siswa0259,96
Siswa0260,82
Siswa0261,68
Siswa0262,54
Siswa0263,91
Siswa0264,77
Siswa0265,63
Siswa0266,100
